chromosome,transcriptID
1,ENST00000290551
1,ENST00000373093
1,ENST00000373091
1,ENST00000367818
1,ENST00000639408
1,ENST00000637644
1,ENST00000640914
1,ENST00000509700
1,ENST00000534512
1,ENST00000644903
1,ENST00000640017
1,ENST00000638728
1,ENST00000638868
1,ENST00000373001
1,ENST00000534289
1,ENST00000450453
1,ENST00000524800
1,ENST00000638840
1,ENST00000632571
1,ENST00000367868
1,ENST00000369487
1,ENST00000493293
1,ENST00000264144
1,ENST00000372705
1,ENST00000372706
1,ENST00000366683
1,ENST00000366684
1,ENST00000684723
1,ENST00000617227
1,ENST00000375105
1,ENST00000366686
1,ENST00000284617
1,ENST00000366687
1,ENST00000369872
1,ENST00000369489
1,ENST00000464088
1,ENST00000457047
1,ENST00000526981
1,ENST00000638577
1,ENST00000373044
1,ENST00000639843
1,ENST00000636312
1,ENST00000367173
1,ENST00000504476
1,ENST00000505079
1,ENST00000401399
1,ENST00000539706
1,ENST00000404076
1,ENST00000430393
1,ENST00000425360
1,ENST00000513543
1,ENST00000680427
1,ENST00000339876
1,ENST00000475956
1,ENST00000367147
1,ENST00000539267
1,ENST00000489709
1,ENST00000683341
1,ENST00000403080
1,ENST00000413225
1,ENST00000447819
1,ENST00000375826
1,ENST00000331830
1,ENST00000640326
1,ENST00000639971
1,ENST00000639302
1,ENST00000532366
1,ENST00000640428
1,ENST00000638378
1,ENST00000442820
1,ENST00000367900
1,ENST00000271452
1,ENST00000497990
1,ENST00000296218
1,ENST00000640352
1,ENST00000652629
1,ENST00000361217
1,ENST00000368646
1,ENST00000472932
1,ENST00000639122
1,ENST00000369500
1,ENST00000334857
1,ENST00000367511
1,ENST00000375890
1,ENST00000424908
1,ENST00000400777
1,ENST00000348549
1,ENST00000333868
1,ENST00000546424
1,ENST00000621281
1,ENST00000474305
1,ENST00000454994
1,ENST00000359858
1,ENST00000611874
1,ENST00000417119
1,ENST00000650449
1,ENST00000564627
1,ENST00000672625
1,ENST00000414478
1,ENST00000373330
1,ENST00000447522
1,ENST00000440484
1,ENST00000469637
1,ENST00000454472
1,ENST00000610020
1,ENST00000422815
1,ENST00000483391
1,ENST00000369740
1,ENST00000352594
1,ENST00000353665
1,ENST00000489524
1,ENST00000430615
1,ENST00000451398
1,ENST00000343320
1,ENST00000463560
1,ENST00000495852
1,ENST00000495106
1,ENST00000370360
1,ENST00000370373
1,ENST00000370375
1,ENST00000637508
1,ENST00000372581
1,ENST00000272203
1,ENST00000621781
1,ENST00000447706
1,ENST00000452560
1,ENST00000413408
1,ENST00000331314
1,ENST00000429498
1,ENST00000433235
1,ENST00000453944
1,ENST00000375436
1,ENST00000465518
1,ENST00000436897
1,ENST00000373830
1,ENST00000372697
1,ENST00000417056
1,ENST00000372696
1,ENST00000372699
1,ENST00000648542
1,ENST00000373826
1,ENST00000375433
1,ENST00000535414
1,ENST00000416479
1,ENST00000373237
1,ENST00000419301
1,ENST00000443813
1,ENST00000429964
1,ENST00000360066
1,ENST00000506784
1,ENST00000414303
1,ENST00000423678
1,ENST00000684275
1,ENST00000610648
1,ENST00000453959
1,ENST00000435302
1,ENST00000361355
1,ENST00000477657
1,ENST00000370113
1,ENST00000370114
1,ENST00000450240
1,ENST00000308302
1,ENST00000310392
1,ENST00000684484
1,ENST00000536357
1,ENST00000474998
1,ENST00000392203
1,ENST00000263285
1,ENST00000368039
1,ENST00000490902
1,ENST00000368035
1,ENST00000420342
1,ENST00000368037
1,ENST00000290585
1,ENST00000271843
1,ENST00000356648
1,ENST00000368589
1,ENST00000428469
1,ENST00000482791
1,ENST00000368838
1,ENST00000642349
1,ENST00000290583
1,ENST00000420770
1,ENST00000326413
1,ENST00000479191
1,ENST00000400999
1,ENST00000479764
1,ENST00000453029
1,ENST00000321531
1,ENST00000635322
1,ENST00000294868
1,ENST00000287713
1,ENST00000040877
1,ENST00000400661
1,ENST00000375375
1,ENST00000481777
1,ENST00000492684
1,ENST00000486707
1,ENST00000478926
1,ENST00000368829
1,ENST00000467306
1,ENST00000368830
1,ENST00000642479
1,ENST00000635374
1,ENST00000368841
1,ENST00000368843
1,ENST00000424959
1,ENST00000316721
1,ENST00000368376
1,ENST00000400664
1,ENST00000438896
1,ENST00000620518
1,ENST00000366510
1,ENST00000609421
1,ENST00000617047
1,ENST00000652342
1,ENST00000650953
1,ENST00000618772
1,ENST00000487146
1,ENST00000602849
1,ENST00000369784
1,ENST00000652747
1,ENST00000654015
1,ENST00000344356
1,ENST00000377939
1,ENST00000471115
1,ENST00000642376
1,ENST00000648869
1,ENST00000614713
1,ENST00000368575
1,ENST00000367614
1,ENST00000682887
1,ENST00000367282
1,ENST00000682545
1,ENST00000683557
1,ENST00000683302
1,ENST00000614750
1,ENST00000272217
1,ENST00000294848
1,ENST00000417329
1,ENST00000444136
1,ENST00000651669
1,ENST00000643794
1,ENST00000458013
1,ENST00000616173
1,ENST00000582415
1,ENST00000431292
1,ENST00000367362
1,ENST00000236914
1,ENST00000474307
1,ENST00000447034
1,ENST00000367357
1,ENST00000425410
1,ENST00000370080
1,ENST00000684141
1,ENST00000330330
1,ENST00000422549
1,ENST00000370083
1,ENST00000303569
1,ENST00000461638
1,ENST00000373235
1,ENST00000367771
1,ENST00000367770
1,ENST00000544748
1,ENST00000683532
1,ENST00000622339
1,ENST00000370079
1,ENST00000494537
1,ENST00000354177
1,ENST00000374315
1,ENST00000361547
1,ENST00000621216
1,ENST00000344008
1,ENST00000447850
1,ENST00000377022
1,ENST00000367821
1,ENST00000431969
1,ENST00000441464
1,ENST00000374329
1,ENST00000263979
1,ENST00000611903
1,ENST00000374332
1,ENST00000355281
1,ENST00000334815
1,ENST00000423670
1,ENST00000368820
1,ENST00000367772
1,ENST00000423723
1,ENST00000368607
1,ENST00000368809
1,ENST00000368811
1,ENST00000489410
1,ENST00000471464
1,ENST00000368814
1,ENST00000271889
1,ENST00000449724
1,ENST00000368601
1,ENST00000468085
1,ENST00000477026
1,ENST00000494642
1,ENST00000453881
1,ENST00000368817
1,ENST00000368603
1,ENST00000368600
1,ENST00000366899
1,ENST00000360380
1,ENST00000371877
1,ENST00000337817
1,ENST00000437806
1,ENST00000373243
1,ENST00000356090
1,ENST00000373253
1,ENST00000326233
1,ENST00000619588
1,ENST00000368770
1,ENST00000368771
1,ENST00000334371
1,ENST00000368775
1,ENST00000368630
1,ENST00000368633
1,ENST00000436811
1,ENST00000447475
1,ENST00000396221
1,ENST00000682977
1,ENST00000683977
1,ENST00000374280
1,ENST00000366609
1,ENST00000623167
1,ENST00000641652
1,ENST00000540011
1,ENST00000427468
1,ENST00000319637
1,ENST00000357235
1,ENST00000540998
1,ENST00000439374
1,ENST00000368926
1,ENST00000368921
1,ENST00000525749
1,ENST00000437645
1,ENST00000534097
1,ENST00000432874
1,ENST00000485855
1,ENST00000392802
1,ENST00000361277
1,ENST00000295294
1,ENST00000373048
1,ENST00000367577
1,ENST00000423538
1,ENST00000684582
1,ENST00000367884
1,ENST00000367883
1,ENST00000627653
1,ENST00000366555
1,ENST00000366557
1,ENST00000366559
1,ENST00000366558
1,ENST00000683521
1,ENST00000366560
1,ENST00000682162
1,ENST00000684483
1,ENST00000368078
1,ENST00000467691
1,ENST00000341298
1,ENST00000368400
1,ENST00000368399
1,ENST00000359511
1,ENST00000368931
1,ENST00000367885
1,ENST00000650563
1,ENST00000373042
1,ENST00000650332
1,ENST00000271620
1,ENST00000368947
1,ENST00000361891
1,ENST00000368684
1,ENST00000368681
1,ENST00000615950
1,ENST00000450884
1,ENST00000619609
1,ENST00000367830
1,ENST00000457392
1,ENST00000421609
1,ENST00000558062
1,ENST00000361419
1,ENST00000368949
1,ENST00000368954
1,ENST00000367833
1,ENST00000368937
1,ENST00000431193
1,ENST00000368936
1,ENST00000468084
1,ENST00000373043
1,ENST00000444521
1,ENST00000498083
1,ENST00000465233
1,ENST00000378427
1,ENST00000537325
1,ENST00000378424
1,ENST00000419916
1,ENST00000536598
1,ENST00000370103
1,ENST00000338858
1,ENST00000375102
1,ENST00000375448
1,ENST00000375453
1,ENST00000368934
1,ENST00000368935
1,ENST00000378425
1,ENST00000271688
1,ENST00000367888
1,ENST00000368318
1,ENST00000472795
1,ENST00000496973
1,ENST00000481744
1,ENST00000359326
1,ENST00000466580
1,ENST00000459772
1,ENST00000286031
1,ENST00000642372
1,ENST00000413811
1,ENST00000483015
1,ENST00000486072
1,ENST00000514234
1,ENST00000506488
1,ENST00000378708
1,ENST00000503789
1,ENST00000504599
1,ENST00000373016
1,ENST00000644217
1,ENST00000642339
1,ENST00000645964
1,ENST00000604534
1,ENST00000604203
1,ENST00000643524
1,ENST00000646536
1,ENST00000372990
1,ENST00000540558
1,ENST00000289248
1,ENST00000644037
1,ENST00000646463
1,ENST00000684121
1,ENST00000234739
1,ENST00000683836
1,ENST00000645551
1,ENST00000646821
1,ENST00000643238
1,ENST00000646104
1,ENST00000645662
1,ENST00000510793
1,ENST00000367889
1,ENST00000378712
1,ENST00000487053
1,ENST00000378755
1,ENST00000378756
1,ENST00000638121
1,ENST00000638160
1,ENST00000638018
1,ENST00000366553
1,ENST00000478849
1,ENST00000339113
1,ENST00000490673
1,ENST00000366554
1,ENST00000646929
1,ENST00000644265
1,ENST00000644910
1,ENST00000647322
1,ENST00000647151
1,ENST00000370456
1,ENST00000469376
1,ENST00000536055
1,ENST00000400830
1,ENST00000484114
1,ENST00000435676
1,ENST00000514363
1,ENST00000520777
1,ENST00000518681
1,ENST00000505820
1,ENST00000355826
1,ENST00000489635
1,ENST00000359060
1,ENST00000291386
1,ENST00000456900
1,ENST00000441649
1,ENST00000624426
1,ENST00000425828
1,ENST00000378733
1,ENST00000354422
1,ENST00000338353
1,ENST00000258341
1,ENST00000502470
1,ENST00000460972
1,ENST00000560793
1,ENST00000480336
1,ENST00000367478
1,ENST00000451586
1,ENST00000613151
1,ENST00000331433
1,ENST00000439316
1,ENST00000375692
1,ENST00000406363
1,ENST00000375662
1,ENST00000487046
